customer_id,age,gender,country,signup_date,subscription_status,cancellations_count,purchase_frequency,rating
CUST1043,55,Female,UK,2023-04-22,active,4,45,4.3
CUST1044,47,Male,Germany,2022-11-03,cancelled,5,48,4.0
CUST1045,29,Male,Pakistan,2020-11-30,active,0,6,3.3
CUST1046,19,Female,Pakistan,2023-03-21,active,0,37,4.1
CUST1047,38,Male,Canada,2021-07-13,active,1,23,4.4
CUST1048,48,Male,Pakistan,2023-10-04,paused,5,35,3.6
CUST1049,58,Male,Germany,2022-06-17,active,4,30,4.2
CUST1050,27,Female,Pakistan,2020-08-29,paused,0,37,4.4
CUST1051,54,Male,Canada,2022-05-12,active,2,14,4.2
CUST1052,67,Female,USA,2020-09-09,active,3,4,4.3
CUST1053,51,Female,Canada,2020-05-10,cancelled,4,8,4.2
CUST1054,59,Male,UK,2023-03-05,cancelled,0,1,4.1
CUST1055,42,Female,USA,2022-09-04,cancelled,4,23,3.7
CUST1056,38,Male,USA,2023-08-15,active,0,17,4.2
CUST1057,23,Female,Germany,2023-02-27,active,5,1,4.2
CUST1058,18,Male,USA,2021-04-22,active,3,18,4.2
CUST1059,41,Female,Canada,2020-08-30,paused,0,13,4.3
CUST1060,35,Female,Canada,2021-08-16,cancelled,1,42,3.7
CUST1061,39,Female,Canada,2021-12-29,active,3,2,4.3
CUST1062,33,Female,UK,2021-09-09,paused,4,13,4.0
CUST1063,34,Female,Canada,2020-11-26,active,4,9,4.2
CUST1064,22,Female,Germany,2022-08-07,cancelled,4,16,4.2
CUST1065,56,Male,Pakistan,2020-11-16,paused,1,7,4.4
CUST1066,54,Female,Pakistan,2023-07-13,cancelled,3,9,4.1
CUST1067,66,Female,UK,2021-09-24,active,4,39,4.3
CUST1068,45,Other,Canada,2023-05-27,active,5,40,4.2
CUST1069,19,Male,Canada,2022-01-25,active,4,33,4.3
CUST1070,33,Female,India,2023-07-29,active,3,25,4.5
CUST1071,62,Female,India,2021-09-10,active,2,13,4.1
CUST1072,34,Male,Canada,2020-12-14,active,3,28,4.2
CUST1073,57,Male,Pakistan,2021-01-11,cancelled,0,13,4.0
CUST1074,21,Female,India,2021-08-19,active,2,27,4.1
CUST1075,43,Female,USA,2022-08-20,cancelled,1,32,4.1
CUST1076,63,Male,USA,2021-03-05,cancelled,5,19,4.0
CUST1077,35,Female,UK,2021-07-17,cancelled,2,47,4.1
CUST1078,55,Female,UK,2021-11-04,cancelled,2,44,3.9
CUST1079,54,Male,Germany,2020-05-10,active,5,21,4.0
CUST1080,53,Male,Germany,2021-02-11,active,0,4,4.2
CUST1081,20,Male,USA,2023-01-07,active,5,8,4.0
CUST1082,18,Male,UK,2021-09-23,active,0,20,3.4
CUST1083,44,Female,UK,2021-03-10,active,0,16,4.4
CUST1084,20,Male,Pakistan,2021-02-12,active,0,1,4.2
CUST1085,51,Female,Germany,2021-04-04,active,0,7,4.2
CUST1086,55,Female,Germany,2021-01-15,active,1,3,4.3
CUST1087,52,Female,Pakistan,2022-05-04,cancelled,1,45,4.3
CUST1088,31,Female,Germany,2021-10-16,cancelled,4,38,4.5
CUST1089,46,Male,India,2021-08-28,active,5,29,4.2
CUST1090,61,Female,Pakistan,2023-07-07,active,0,14,3.6
CUST1091,30,Female,Canada,2021-02-27,active,2,8,4.2
CUST1092,56,Female,Canada,2021-09-13,active,2,28,4.2
CUST1093,24,Male,Canada,2023-05-29,paused,0,30,4.1
CUST1094,68,Female,Pakistan,2022-07-14,active,2,38,4.2
CUST1095,52,Male,Canada,2022-10-20,cancelled,5,40,3.7
CUST1096,43,Female,USA,2021-02-15,active,0,30,3.8
CUST1097,35,Male,Pakistan,2021-03-31,active,4,26,3.7
CUST1098,66,Male,Germany,2021-09-15,paused,5,40,4.5
CUST1099,32,Female,UK,2021-09-18,active,2,5,4.1
CUST1100,57,Female,UK,2020-11-28,cancelled,2,26,4.3
CUST1101,49,Male,USA,2022-04-15,active,2,48,4.3
CUST1102,62,Female,USA,2023-08-14,active,1,35,4.0
CUST1103,36,Female,Germany,2023-06-18,active,4,41,4.2
CUST1104,51,Male,USA,2022-07-27,paused,2,13,4.2
CUST1105,54,Female,India,2022-01-10,active,4,24,4.3
CUST1106,27,Female,UK,2022-09-15,cancelled,0,34,4.2
CUST1107,42,Female,Germany,2020-10-16,active,0,39,4.3
CUST1108,51,Other,India,2022-04-07,cancelled,3,26,4.3
CUST1109,39,Male,India,2022-06-11,cancelled,1,44,3.9
CUST1110,23,Female,Canada,2022-10-29,active,1,11,4.1
CUST1111,59,Female,India,2023-01-27,paused,0,41,4.3
CUST1112,29,Female,Canada,2021-02-13,paused,4,28,4.3
CUST1113,50,Male,India,2023-11-08,cancelled,0,13,4.1
CUST1114,31,Female,Pakistan,2021-12-16,active,3,15,4.5
CUST1115,65,Female,Canada,2022-07-26,active,3,42,4.1
CUST1116,28,Female,Canada,2022-11-29,active,0,3,3.6
CUST1117,31,Male,Germany,2020-12-30,cancelled,0,7,3.5
CUST1118,45,Male,Canada,2022-01-03,active,1,22,4.0
CUST1119,19,Female,USA,2021-12-09,active,1,25,3.8
CUST1120,64,Male,Pakistan,2020-11-16,cancelled,5,1,4.4
CUST1121,23,Male,UK,2022-10-30,active,5,3,3.7
CUST1122,22,Male,UK,2022-03-12,cancelled,2,49,4.3
CUST1123,68,Male,USA,2023-04-25,cancelled,1,38,4.1
CUST1124,61,Female,Canada,2023-02-19,cancelled,3,5,4.2
CUST1125,52,Male,UK,2023-05-20,active,0,28,4.1
CUST1126,35,Female,UK,2021-09-06,active,1,41,4.3
CUST1127,45,Female,Germany,2022-07-25,cancelled,2,49,4.2
CUST1128,49,Female,Germany,2022-09-28,active,2,43,4.2
CUST1129,31,Male,UK,2021-04-24,active,0,34,4.4
CUST1130,33,Male,Germany,2022-10-20,cancelled,3,3,4.3
CUST1131,21,Female,UK,2021-08-11,cancelled,0,13,4.3
CUST1132,59,Female,USA,2022-07-13,active,3,3,4.0
CUST1133,46,Female,Germany,2021-06-29,active,2,34,3.9
CUST1134,35,Male,UK,2021-05-09,active,1,43,4.2
CUST1135,51,Male,USA,2023-05-20,cancelled,5,28,4.3
CUST1136,51,Female,India,2022-10-01,active,1,25,3.9
CUST1137,39,Female,USA,2021-02-05,active,3,11,4.6
CUST1138,36,Female,Germany,2023-07-04,active,3,16,3.9
CUST1139,49,Female,Pakistan,2023-07-06,active,3,12,4.3
CUST1140,55,Male,UK,2022-02-14,active,2,3,4.1
CUST1141,19,Female,Germany,2023-03-24,cancelled,4,9,4.4
CUST1142,47,Female,UK,2023-02-06,cancelled,0,46,3.2
CUST1143,53,Female,India,2021-10-20,active,5,30,4.2
CUST1144,46,Female,India,2021-10-11,active,3,18,4.2
CUST1145,48,Male,Germany,2021-07-08,cancelled,2,23,3.7
CUST1146,47,Female,USA,2021-03-17,active,1,24,4.5
CUST1147,26,Other,Germany,2022-08-24,active,5,28,4.2
CUST1148,20,Male,India,2021-05-12,active,1,17,4.2
CUST1149,51,Male,Germany,2021-09-23,cancelled,2,37,4.2
CUST1150,20,Male,Germany,2021-09-22,cancelled,3,40,4.1
CUST1151,49,Female,USA,2020-12-26,active,3,40,4.3
CUST1152,27,Female,Pakistan,2021-09-11,active,5,41,4.3
CUST1153,52,Female,India,2022-07-27,active,2,18,4.3
CUST1154,24,Other,UK,2020-10-13,cancelled,1,42,3.4
CUST1155,54,Female,UK,2022-08-28,cancelled,1,7,4.3
CUST1156,42,Male,Pakistan,2021-06-10,active,0,1,4.4
CUST1157,55,Male,Canada,2022-07-17,cancelled,4,45,3.9
CUST1158,35,Female,Pakistan,2020-11-22,active,4,24,4.1
CUST1159,31,Male,Pakistan,2022-09-04,active,3,1,3.9
CUST1160,21,Male,Germany,2022-05-22,active,1,21,4.0
CUST1161,65,Female,Canada,2022-07-30,active,5,24,4.3
CUST1162,30,Female,Canada,2020-09-30,cancelled,4,44,4.0
CUST1163,38,Female,Pakistan,2023-02-07,cancelled,4,38,3.9
CUST1164,64,Male,Germany,2022-11-19,paused,3,34,4.5
CUST1165,45,Male,Germany,2023-12-05,active,5,9,3.9
CUST1166,41,Male,UK,2021-03-09,cancelled,2,3,4.2
CUST1167,38,Male,Pakistan,2021-11-23,cancelled,1,8,4.0
CUST1168,62,Other,Germany,2021-01-23,active,2,36,4.3
CUST1169,47,Male,India,2021-02-05,active,5,49,4.0
CUST1170,65,Female,UK,2021-09-05,active,5,47,4.4
CUST1171,36,Female,UK,2021-04-17,cancelled,1,2,4.3
CUST1172,64,Female,Canada,2022-02-19,cancelled,0,28,4.0
CUST1173,38,Male,Pakistan,2022-12-05,cancelled,5,42,4.3
CUST1174,51,Male,Germany,2023-02-15,active,4,39,5.0
CUST1175,62,Male,Pakistan,2021-09-15,active,5,26,3.7
CUST1176,20,Male,Pakistan,2023-11-07,cancelled,3,17,4.0
CUST1177,21,Female,Canada,2020-11-19,paused,4,34,4.1
CUST1178,45,Female,Canada,2021-11-14,cancelled,3,18,4.0
CUST1179,48,Male,Germany,2021-07-24,active,2,15,3.3
CUST1180,48,Male,Pakistan,2023-10-04,active,0,33,3.8
CUST1181,33,Male,Pakistan,2023-03-21,cancelled,3,42,4.1
CUST1182,37,Male,India,2021-01-08,active,0,5,4.1
CUST1183,59,Male,Canada,2021-04-19,active,2,23,4.4
CUST1184,37,Male,USA,2023-09-07,active,3,33,4.3
CUST1185,47,Female,Canada,2022-06-22,active,2,9,4.3
CUST1186,62,Female,Canada,2021-08-08,active,5,10,4.4
CUST1187,26,Female,India,2023-06-05,cancelled,1,39,4.3
CUST1188,20,Female,Pakistan,2021-05-25,active,0,34,3.9
CUST1189,40,Male,Germany,2022-10-22,active,5,40,4.2
CUST1190,49,Female,Pakistan,2021-07-19,cancelled,4,7,4.2
CUST1191,33,Male,UK,2022-02-15,cancelled,4,9,4.1
CUST1192,54,Other,Pakistan,2021-03-10,active,2,29,4.3
CUST1193,28,Male,Canada,2021-08-14,active,5,26,3.7
CUST1194,36,Female,Canada,2021-10-05,cancelled,2,10,4.1
CUST1195,57,Male,India,2023-07-19,active,0,46,3.9
CUST1196,36,Male,India,2020-07-10,active,3,49,4.0
CUST1197,34,Male,USA,2022-01-10,active,2,45,4.2
CUST1198,39,Female,USA,2022-04-25,cancelled,4,35,4.4
CUST1199,32,Male,Pakistan,2022-11-10,active,4,43,4.1
CUST1200,69,Female,Germany,2021-11-07,cancelled,2,23,4.3
CUST1201,61,Male,India,2023-03-29,cancelled,0,47,3.8
CUST1202,68,Female,UK,2021-06-11,active,4,13,4.4
CUST1203,61,Other,Germany,2021-07-22,cancelled,4,6,4.0
CUST1204,22,Female,USA,2021-12-05,active,0,13,4.4
CUST1205,58,Male,India,2021-08-20,cancelled,2,13,4.0
CUST1206,59,Female,Germany,2021-11-24,active,1,26,4.2
CUST1207,32,Male,India,2023-07-16,active,1,38,3.9
CUST1208,37,Male,India,2022-12-09,active,0,33,3.7
CUST1209,30,Male,Pakistan,2022-12-04,active,2,6,3.6
CUST1210,30,Female,UK,2022-03-14,active,0,40,4.0
CUST1211,65,Male,UK,2022-08-03,paused,2,34,3.5
CUST1212,48,Female,Canada,2022-04-26,cancelled,4,45,4.5
CUST1213,56,Female,Pakistan,2021-04-01,cancelled,2,40,4.2
CUST1214,29,Female,Germany,2022-10-26,cancelled,0,36,3.8
CUST1215,64,Male,India,2021-08-03,active,4,30,3.8
CUST1216,48,Female,Pakistan,2022-06-11,active,3,32,4.1
CUST1217,59,Male,Germany,2023-04-27,active,5,3,4.3
CUST1218,36,Female,Canada,2022-01-07,active,5,30,4.4
CUST1219,20,Female,Canada,2023-08-20,active,4,38,3.9
CUST1220,51,Female,Pakistan,2022-06-06,paused,3,27,4.2
CUST1221,49,Female,USA,2020-01-10,active,2,45,3.8
CUST1222,46,Female,Canada,2022-04-26,active,1,12,4.1
CUST1223,25,Female,Pakistan,2023-05-01,active,0,32,4.1
CUST1224,19,Female,USA,2021-10-27,active,1,21,4.3
CUST1225,62,Female,UK,2023-02-27,active,5,7,3.7
CUST1226,52,Female,Germany,2021-03-19,active,2,45,4.0
CUST1227,52,Other,Germany,2021-09-14,active,5,11,4.2
CUST1228,47,Female,Germany,2022-03-16,active,0,13,4.1
CUST1229,46,Male,UK,2022-07-25,active,2,27,4.3
CUST1230,18,Female,India,2022-06-21,active,1,38,4.4
CUST1231,66,Female,Pakistan,2023-12-01,active,5,33,4.3
CUST1232,54,Other,UK,2022-07-14,cancelled,4,30,4.3
CUST1233,35,Female,India,2022-07-04,active,1,26,3.5
CUST1234,65,Male,USA,2021-11-16,cancelled,1,15,3.9
CUST1235,22,Female,Pakistan,2020-09-22,cancelled,0,47,4.5
CUST1236,60,Female,Pakistan,2021-09-23,active,2,11,3.4
CUST1237,57,Female,Germany,2023-10-01,cancelled,1,28,4.0
CUST1238,37,Female,Canada,2021-11-29,active,2,3,4.0
CUST1239,50,Female,USA,2022-12-27,active,5,8,4.4
CUST1240,22,Female,Germany,2022-05-21,active,5,22,4.0
CUST1241,46,Female,Canada,2020-09-16,active,0,39,4.3
CUST1242,59,Male,India,2021-09-05,active,2,40,4.0
CUST1243,53,Female,Germany,2021-12-18,active,2,5,4.2
CUST1244,40,Female,USA,2022-10-17,active,5,23,3.8
CUST1245,67,Female,UK,2020-10-31,active,0,40,4.4
CUST1246,26,Male,Germany,2021-01-13,active,2,23,3.9
CUST1247,67,Female,UK,2022-11-18,active,5,39,4.2
CUST1248,23,Male,USA,2021-08-29,paused,2,11,3.9
CUST1249,51,Female,India,2022-12-18,cancelled,1,18,4.7
CUST1250,64,Female,India,2021-02-21,active,2,39,3.6
CUST1251,42,Female,Germany,2023-05-20,active,2,39,3.7
CUST1252,23,Male,Pakistan,2021-05-13,paused,1,6,4.2
CUST1253,57,Female,India,2021-12-02,active,0,37,4.0
CUST1254,29,Male,India,2022-12-09,active,0,24,3.6
CUST1255,60,Female,USA,2023-09-02,paused,5,40,4.3
CUST1256,22,Female,Germany,2021-05-28,active,2,44,4.2
CUST1257,56,Male,Canada,2021-10-18,cancelled,2,14,4.3
CUST1258,65,Female,India,2020-02-09,active,2,35,4.2
CUST1259,40,Male,USA,2021-02-18,active,0,48,4.2
CUST1260,34,Female,UK,2022-12-14,active,1,14,4.4
CUST1261,36,Female,UK,2022-02-09,paused,5,8,4.2
CUST1262,46,Female,India,2023-03-04,active,1,25,4.4
CUST1263,65,Male,UK,2020-02-09,paused,5,28,3.0
CUST1264,31,Female,Pakistan,2022-07-22,cancelled,3,37,4.5
CUST1265,57,Female,Germany,2023-02-27,cancelled,3,47,4.3
CUST1266,32,Male,Pakistan,2023-04-25,paused,1,16,4.2
CUST1267,47,Male,India,2022-07-28,active,2,12,4.4
CUST1268,28,Male,USA,2022-10-29,active,3,1,4.0
CUST1269,58,Female,UK,2021-11-30,cancelled,3,45,3.8
CUST1270,27,Female,Germany,2021-04-05,cancelled,1,17,4.3
CUST1271,52,Female,India,2021-06-11,paused,4,38,4.2
CUST1272,28,Female,USA,2022-10-31,active,3,41,4.1
CUST1273,53,Female,Pakistan,2021-03-28,active,1,49,4.0
CUST1274,61,Female,USA,2021-08-31,active,0,1,4.2
CUST1275,53,Female,Germany,2021-06-09,active,3,46,3.3
CUST1276,59,Female,UK,2022-05-29,cancelled,3,12,4.3
CUST1277,33,Female,India,2022-09-12,active,4,30,3.8
CUST1278,53,Female,UK,2023-06-05,paused,0,41,4.2
CUST1279,47,Male,Germany,2020-10-14,cancelled,4,49,3.7
CUST1280,52,Male,Canada,2022-10-20,active,5,14,4.3
CUST1281,59,Female,UK,2021-04-04,cancelled,0,23,3.9
CUST1282,63,Male,Pakistan,2023-05-15,active,2,28,3.0
CUST1283,29,Male,Canada,2021-09-07,active,4,28,4.3
CUST1284,45,Male,Germany,2020-06-11,paused,1,23,3.5
CUST1285,54,Female,India,2021-05-22,cancelled,3,39,3.9
CUST1286,28,Male,UK,2021-11-27,paused,2,24,4.0
CUST1287,45,Female,UK,2022-09-04,active,3,15,4.3
CUST1288,28,Male,Pakistan,2022-12-02,active,1,8,3.8
CUST1289,29,Other,USA,2021-08-04,cancelled,0,22,4.3
CUST1290,47,Male,Pakistan,2023-02-25,active,2,7,3.3
CUST1291,41,Female,Germany,2023-03-28,active,4,47,4.5
CUST1292,37,Male,India,2021-12-13,cancelled,5,19,4.1
CUST1293,58,Male,UK,2023-05-01,active,4,6,4.2
CUST1294,38,Male,Canada,2020-05-10,active,5,29,4.1
CUST1295,68,Male,UK,2023-01-15,active,0,14,4.4
CUST1296,38,Female,UK,2022-09-06,active,2,5,4.2
CUST1297,66,Male,Pakistan,2021-08-03,paused,5,2,3.9
CUST1298,42,Female,USA,2021-01-03,cancelled,3,15,4.0
CUST1299,45,Male,Pakistan,2021-02-28,cancelled,5,38,4.5
CUST1300,19,Female,Canada,2023-08-14,active,1,25,3.7
CUST1301,65,Female,USA,2023-08-08,active,2,7,4.2
CUST1302,55,Female,USA,2023-07-28,paused,3,21,4.2
CUST1303,45,Female,Germany,2022-12-09,cancelled,1,11,4.2
CUST1304,35,Male,India,2021-10-14,active,5,6,4.3
CUST1305,26,Male,Germany,2021-07-28,active,3,31,4.4
CUST1306,56,Female,USA,2022-11-13,active,4,47,4.2
CUST1307,40,Male,Canada,2022-01-17,paused,0,20,4.3
CUST1308,57,Male,Germany,2021-08-04,active,4,49,3.7
CUST1309,57,Female,UK,2020-09-29,active,3,20,4.3
CUST1310,21,Female,Germany,2021-03-16,cancelled,4,6,4.2
CUST1311,31,Female,Germany,2020-09-19,paused,3,25,4.4
CUST1312,52,Female,UK,2020-01-12,active,0,49,3.5
CUST1313,27,Other,Pakistan,2021-10-21,active,4,30,4.1
CUST1314,32,Male,Canada,2021-08-01,active,1,15,4.3
CUST1315,55,Male,Pakistan,2021-02-08,cancelled,5,49,4.2
CUST1316,37,Female,Canada,2022-02-03,cancelled,2,32,4.0
CUST1317,19,Female,Germany,2023-08-05,active,4,6,3.9
CUST1318,59,Female,USA,2022-11-12,cancelled,1,48,3.3
CUST1319,67,Male,India,2023-08-20,cancelled,4,32,3.8
CUST1320,31,Female,Germany,2023-07-03,paused,2,46,4.0
CUST1321,19,Male,USA,2023-07-04,active,0,23,4.3
CUST1322,41,Female,India,2022-08-27,cancelled,5,49,3.9
CUST1323,59,Female,Pakistan,2022-07-23,active,3,46,4.2
CUST1324,61,Male,India,2023-07-27,active,5,29,5.0
CUST1325,46,Other,Canada,2020-10-09,cancelled,4,39,4.1
CUST1326,19,Female,UK,2021-11-10,active,2,39,3.9
CUST1327,44,Female,Pakistan,2021-02-11,active,4,15,4.2
CUST1328,64,Male,Pakistan,2022-04-22,active,1,49,4.3
CUST1329,66,Female,India,2021-12-09,active,0,9,3.8
CUST1330,60,Female,Germany,2021-08-12,active,2,13,4.3
CUST1331,36,Female,Canada,2022-05-28,active,0,27,4.4
CUST1332,49,Male,Canada,2022-10-08,active,2,2,4.3
CUST1333,45,Female,Pakistan,2023-11-07,active,4,25,4.3
CUST1334,54,Male,UK,2021-08-02,active,4,47,4.2
CUST1335,22,Female,Germany,2021-12-24,cancelled,0,38,4.3
CUST1336,22,Female,UK,2021-08-24,active,5,2,3.8
CUST1337,22,Female,USA,2023-07-19,paused,0,9,4.3
CUST1338,45,Female,UK,2022-06-14,paused,3,16,4.0
CUST1339,40,Female,UK,2022-09-13,active,2,23,4.3
CUST1340,21,Female,Canada,2023-03-15,active,1,27,4.3
CUST1341,27,Male,Pakistan,2021-08-10,active,2,10,4.0
CUST1342,57,Male,Canada,2021-09-01,active,1,44,4.0
CUST1343,59,Male,Canada,2023-02-16,active,5,30,4.4
CUST1344,21,Male,USA,2021-04-14,active,0,37,4.1
CUST1345,35,Male,UK,2021-12-26,active,4,15,4.0
CUST1346,37,Female,Germany,2021-10-14,active,2,7,3.9
CUST1347,26,Female,Pakistan,2020-12-10,active,1,4,4.1
CUST1348,41,Male,Germany,2021-09-27,cancelled,0,11,4.2
CUST1349,43,Male,Canada,2023-01-05,active,1,8,3.9
CUST1350,61,Female,UK,2021-06-18,active,3,36,4.0
CUST1351,51,Female,Pakistan,2021-10-28,cancelled,0,2,4.0
CUST1352,57,Female,USA,2021-11-18,cancelled,4,14,4.1
CUST1353,34,Female,Germany,2021-03-20,cancelled,2,49,4.4
CUST1354,22,Female,UK,2022-12-18,cancelled,4,8,4.2
CUST1355,50,Male,Pakistan,2020-11-19,cancelled,0,38,4.3
CUST1356,66,Female,UK,2020-03-11,active,0,29,4.3
CUST1357,66,Male,UK,2021-08-21,active,3,29,3.9
CUST1358,47,Female,Canada,2020-12-09,active,0,26,4.4
CUST1359,39,Female,India,2021-06-12,cancelled,5,44,4.0
CUST1360,48,Female,India,2023-01-08,active,5,36,4.2
CUST1361,23,Male,India,2022-05-08,cancelled,1,48,4.1
CUST1362,18,Female,Germany,2021-11-06,active,1,3,4.4
CUST1363,29,Female,UK,2021-10-19,cancelled,4,9,4.1
CUST1364,21,Female,Germany,2020-10-23,cancelled,5,41,4.2
CUST1365,32,Male,Pakistan,2021-01-02,active,4,21,4.2
CUST1366,60,Female,India,2022-02-22,active,3,17,4.1
CUST1367,27,Female,Pakistan,2021-12-02,active,3,24,4.0
CUST1368,66,Male,USA,2023-06-05,cancelled,3,7,4.2
CUST1369,27,Female,USA,2021-09-05,active,4,22,4.2
CUST1370,37,Male,UK,2021-09-30,active,1,16,4.1
CUST1371,43,Female,Canada,2023-01-19,active,5,24,4.1
CUST1372,63,Male,Germany,2022-10-18,active,4,7,4.2
CUST1373,64,Female,Germany,2021-10-20,active,2,37,4.0
CUST1374,19,Male,India,2021-04-14,cancelled,4,38,4.3
CUST1375,63,Male,Germany,2022-05-29,paused,5,17,4.3
CUST1376,56,Female,Germany,2022-04-13,active,5,42,4.1
CUST1377,33,Male,Germany,2021-07-28,active,3,34,4.0
CUST1378,48,Male,Canada,2022-10-04,active,1,40,4.1
CUST1379,47,Female,Germany,2021-12-14,paused,1,48,3.9
CUST1380,46,Male,India,2023-10-07,paused,1,20,4.2
CUST1381,66,Female,Germany,2023-07-22,active,3,45,4.0
CUST1382,60,Female,Pakistan,2021-01-13,cancelled,5,14,4.4
CUST1383,39,Female,UK,2023-05-26,active,2,18,4.2
CUST1384,31,Male,Pakistan,2022-05-18,active,5,41,3.8
CUST1385,26,Female,UK,2023-05-05,paused,4,18,4.3
CUST1386,34,Male,India,2022-10-27,cancelled,3,23,4.2
CUST1387,44,Male,UK,2022-01-18,active,5,22,3.9
CUST1388,61,Male,Germany,2021-12-31,cancelled,0,12,4.4
CUST1389,46,Female,UK,2020-12-16,active,1,33,4.0
CUST1390,64,Male,UK,2022-08-01,paused,4,34,4.0
CUST1391,60,Female,India,2021-07-30,active,0,29,3.8
CUST1392,66,Male,Canada,2022-08-03,paused,1,26,4.2
CUST1393,62,Female,India,2021-02-04,active,0,45,4.2
CUST1394,43,Female,USA,2022-05-14,active,3,38,4.4
CUST1395,60,Male,India,2022-09-29,active,1,45,4.2
CUST1396,52,Female,India,2021-01-25,active,0,43,4.0
CUST1397,55,Female,Canada,2021-01-23,paused,0,2,4.3
CUST1398,63,Other,Pakistan,2021-07-14,paused,0,15,4.1
CUST1399,43,Female,Pakistan,2022-03-10,cancelled,3,17,4.1
CUST1400,68,Female,Germany,2021-03-12,active,5,32,4.1
CUST1401,60,Male,Pakistan,2023-12-08,cancelled,0,25,4.1
CUST1402,27,Female,Germany,2021-12-05,cancelled,2,25,4.4
CUST1403,31,Male,India,2022-03-15,active,0,14,3.9
CUST1404,52,Female,India,2022-11-10,active,5,4,4.3
CUST1405,40,Male,India,2020-05-09,paused,0,33,4.0
CUST1406,66,Female,USA,2023-11-08,active,2,19,4.3
CUST1407,22,Female,UK,2022-11-03,cancelled,2,6,4.0
CUST1408,56,Male,USA,2023-06-03,active,0,44,3.6
CUST1409,61,Female,USA,2023-05-31,paused,5,7,4.1
CUST1410,61,Male,Germany,2021-10-23,active,5,1,4.2
CUST1411,64,Female,Germany,2022-03-19,active,0,23,4.1
CUST1412,65,Female,Pakistan,2020-11-09,active,3,18,4.1
CUST1413,58,Male,India,2023-03-23,active,1,29,4.0
CUST1414,33,Male,UK,2023-09-06,active,2,31,4.0
CUST1415,24,Female,Germany,2022-10-05,active,1,32,3.5
CUST1416,62,Male,Pakistan,2022-10-28,active,0,32,4.3
CUST1417,42,Male,India,2021-06-15,active,4,11,4.1
CUST1418,22,Female,UK,2023-07-04,active,3,4,4.1
CUST1419,65,Female,Canada,2022-06-03,paused,1,31,4.1
CUST1420,39,Other,Canada,2021-04-02,paused,4,35,4.1
CUST1421,37,Male,USA,2022-05-15,active,2,11,3.8
CUST1422,40,Female,Germany,2022-07-06,active,1,32,4.3
CUST1423,21,Male,Pakistan,2023-08-07,active,2,9,4.0
CUST1424,55,Female,Canada,2021-09-08,cancelled,5,39,4.2
CUST1425,26,Male,Canada,2023-06-27,active,1,49,4.1
